ID,Played_Instrument,Video,Illusion,Aesthetic_Score
1764451374671,Yes,output_with_sound_A_1_4,1,5
1764451374671,Yes,output_with_sound_B_1_1,1,5
1764451374671,Yes,output_with_sound_B_1_2,1,5
1764451374671,Yes,output_with_sound_B_1_3,1,4
1764451374671,Yes,output_with_sound_B_1_4,1,4
1764463651702,Yes,output_with_sound_A_1_1,0,2
1764463651702,Yes,output_with_sound_A_1_2,0,6
1764463651702,Yes,output_with_sound_A_1_3,0,6
1764463651702,Yes,output_with_sound_A_1_4,0,2
1764463651702,Yes,output_with_sound_B_1_1,0,6
1764463651702,Yes,output_with_sound_B_1_2,0,7
1764463651702,Yes,output_with_sound_B_1_3,0,6
1764463651702,Yes,output_with_sound_B_1_4,0,5
1764470192216,Yes,output_with_sound_A_1_1,1,4
1764470192216,Yes,output_with_sound_A_1_2,1,5
1764470192216,Yes,output_with_sound_A_1_3,1,2
1764470192216,Yes,output_with_sound_A_1_4,1,4
1764470192216,Yes,output_with_sound_B_1_1,1,1
1764470192216,Yes,output_with_sound_B_1_2,1,5
1764470192216,Yes,output_with_sound_B_1_3,1,5
1764470192216,Yes,output_with_sound_B_1_4,1,5
1764472024365,No,output_with_sound_A_1_1,1,6
1764472024365,No,output_with_sound_A_1_2,1,5
1764472024365,No,output_with_sound_A_1_3,0,1
1764472024365,No,output_with_sound_A_1_4,0,1
1764472024365,No,output_with_sound_B_1_1,1,6
1764472024365,No,output_with_sound_B_1_2,0,1
1764472024365,No,output_with_sound_B_1_3,1,5
1764472024365,No,output_with_sound_B_1_4,0,4
1764455059698,Yes,output_with_sound_A_1_1,1,5
1764455059698,Yes,output_with_sound_A_1_2,1,5
1764455059698,Yes,output_with_sound_A_1_3,0,2
1764455059698,Yes,output_with_sound_A_1_4,0,2
1764455059698,Yes,output_with_sound_B_1_1,1,6
1764455059698,Yes,output_with_sound_B_1_2,0,2
1764455059698,Yes,output_with_sound_B_1_3,1,6
1764455059698,Yes,output_with_sound_B_1_4,0,2
